year,year_start,icd_chapter,fce,admissions,emergency,waiting_list,planned,male,female,emergency_ratio
2013-14,2013,Ch.V  Mental & behavioural,252584.0,178171.0,136943.0,13076.0,20585.0,136957.0,115507.0,0.7686
2013-14,2013,Ch.VI  Nervous system,417112.0,348655.0,122979.0,142549.0,77805.0,191210.0,225870.0,0.3527
2013-14,2013,Ch.VII/VIII  Eye & Ear,747485.0,735872.0,44396.0,626086.0,64414.0,337760.0,409509.0,0.0603
2013-14,2013,Ch.X  Respiratory system,1300344.0,852349.0,665257.0,145436.0,29116.0,657864.0,642393.0,0.7805
2013-14,2013,Ch.XI  Digestive system,2142891.0,1842172.0,474850.0,1157596.0,202729.0,1054285.0,1088387.0,0.2578
2013-14,2013,Ch.XII  Skin,359419.0,300944.0,144744.0,132598.0,20276.0,184965.0,174410.0,0.481
2013-14,2013,Ch.XIII  Musculoskeletal,1336295.0,1260957.0,211728.0,834840.0,207585.0,556083.0,779920.0,0.1679
2013-14,2013,Ch.XIV  Genitourinary,1149910.0,929596.0,358240.0,471044.0,91844.0,479833.0,669984.0,0.3854
2013-14,2013,Ch.XIX  Injury & poisoning,19374614.0,16467964.0,6214477.0,5968160.0,2224827.0,8707451.0,10665090.0,0.3774
2013-14,2013,Ch.XV  Pregnancy & childbirth,1301125.0,1261040.0,127827.0,79996.0,19517.0,15.0,1301098.0,0.1014
2013-14,2013,Ch.XVI  Perinatal,282453.0,234380.0,43343.0,3021.0,1859.0,155299.0,127068.0,0.1849
2013-14,2013,Ch.XVII  Congenital,123249.0,109341.0,10028.0,63317.0,20619.0,71336.0,51872.0,0.0917
2013-14,2013,Ch.XVIII  Symptoms & signs,1980340.0,1681725.0,1152875.0,411430.0,82153.0,920782.0,1059370.0,0.6855
2013-14,2013,Ch.XXI  Health status factors,1150356.0,1121355.0,39538.0,244264.0,216739.0,506019.0,644267.0,0.0353
2013-14,2013,Other,12.0,6.0,4.0,0.0,0.0,8.0,4.0,0.6667
